gene_id	keel_1	keel_2	keel_3	leaf_1	leaf_2	leaf_3	lid_1	lid_2	lid_3	neck_1	neck_2	neck_3	petiole_1	petiole_2	petiole_3	pitcherLower_1	pitcherLower_2	pitcherLower_3	pitcherUpper_1	pitcherUpper_2	pitcherUpper_3	root_1	root_2	root_3	shootApex15C_1	shootApex15C_2	shootApex15C_3	shootApex25C_1	shootApex25C_2	shootApex25C_3	trap_1	trap_2	trap_3	trap_4
Cephalotus_follicularis_Cfol-v3-15267	0.038212	0.062896	0.036112	0.578034	0.709508	0.640610	0.042065	0.113570	0.051296	0.015321	0.025255	0.027712	0.003676	0.000000	0.000000	0.012540	0.032977	0.040531	0.019336	0.014027	0.023115	0.145888	0.122708	0.184647	2.435552	2.748513	2.676103	2.950290	3.099077	2.962981	1.889942	2.099158	1.824579	0.064632
Cephalotus_follicularis_Cfol-v3-07401	1.305074	1.025421	1.317159	0.701579	0.748014	0.589130	1.006311	1.127952	0.906193	1.773140	1.958774	1.498935	0.121560	0.256478	0.133641	1.589603	1.421801	1.362960	1.578569	1.392917	1.146320	0.062752	0.038319	0.047739	0.009036	0.029465	0.038983	0.183483	0.279420	0.249286	2.396336	2.521236	2.322622	0.363354
Cephalotus_follicularis_Cfol-v3-04239	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001005	0.000000	0.001792	0.000985	0.004672	0.001805	0.000000	0.000895	0.003290	0.001141	0.001132	0.000000
Cephalotus_follicularis_Cfol-v3-21357	0.514387	0.647027	0.662035	1.196265	1.251486	1.346628	0.512371	0.542432	0.416052	0.596075	0.477620	0.542048	0.959851	1.054121	1.049106	0.592368	0.768487	0.548589	0.744782	0.636385	0.836978	1.925725	2.056205	2.168710	0.680799	0.283269	0.821871	0.683665	0.618170	0.613730	1.077260	0.947790	0.942768	0.499526
Cephalotus_follicularis_Cfol-v3-28938	0.805090	0.949650	0.971489	1.584586	1.768851	1.630760	0.881122	0.866775	0.711027	1.174511	0.885144	0.876528	1.201020	1.419407	1.128075	2.113710	2.218072	1.849607	1.142350	0.872085	0.944654	3.107866	3.355473	3.375732	0.908045	0.600436	1.103600	1.032373	0.916036	0.971994	1.842144	1.500299	1.494934	0.672681
Cephalotus_follicularis_Cfol-v3-07012	0.345677	0.482616	0.432633	0.925090	1.092572	0.998346	0.422102	0.289158	0.311394	0.425928	0.377890	0.425039	0.430911	0.529293	0.438657	0.370190	0.464373	0.305982	0.432545	0.426157	0.569056	1.029537	1.156279	1.160835	0.318281	0.190388	0.391917	0.441027	0.373489	0.467080	0.607661	0.564081	0.589685	0.357063
Cephalotus_follicularis_Cfol-v3-32280	0.257141	0.347542	0.325857	0.920948	1.008885	0.835427	0.455007	0.433452	0.360041	0.434636	0.403346	0.413641	0.578172	0.712366	0.521854	0.313514	0.416773	0.332796	0.398432	0.333898	0.454817	1.314744	1.289379	1.170706	1.195529	0.496910	1.441670	1.341640	1.254741	1.313284	1.049845	1.098690	1.004744	0.199919
Cephalotus_follicularis_Cfol-v3-25951	0.812864	0.924746	0.890796	1.428386	1.469671	1.333995	0.398746	0.611787	0.604134	0.536996	0.776372	0.674005	0.964522	1.751963	1.150123	0.628783	0.658302	0.603758	0.732239	0.747289	0.801763	0.006419	0.019840	0.087710	2.373615	2.014618	2.446461	3.137915	3.342374	3.149166	2.269004	2.498116	2.214930	0.325209
Cephalotus_follicularis_Cfol-v3-03631	0.053453	0.067376	0.068626	0.167002	0.228627	0.183582	0.186381	0.167054	0.089249	0.186405	0.093573	0.097247	0.168015	0.177229	0.070567	0.070714	0.083418	0.050319	0.086469	0.063720	0.088962	0.272706	0.357781	0.326759	0.148798	0.210366	0.137215	0.301453	0.178222	0.297531	0.404840	0.330387	0.333557	0.089798
Cephalotus_follicularis_Cfol-v3-18548	0.028601	0.042402	0.028690	0.059782	0.079789	0.057705	0.094198	0.090256	0.052130	0.088392	0.056182	0.050716	0.067533	0.077211	0.024132	0.037084	0.051549	0.028089	0.047997	0.031182	0.046590	0.066703	0.083897	0.079135	0.038417	0.015954	0.042705	0.099290	0.056335	0.104754	0.155218	0.126857	0.133436	0.034949
Cephalotus_follicularis_Cfol-v3-23593	0.011910	0.009420	0.012965	0.011896	0.015748	0.013797	0.032170	0.024550	0.018239	0.031287	0.017124	0.020282	0.028000	0.024703	0.008080	0.011641	0.018273	0.017289	0.015569	0.011298	0.017051	0.034961	0.040152	0.034465	0.046000	0.028759	0.041951	0.067747	0.034277	0.077035	0.045062	0.038640	0.034993	0.011204
Cephalotus_follicularis_Cfol-v3-04530	0.014891	0.016757	0.016792	0.036514	0.048672	0.038813	0.046759	0.037074	0.022458	0.047174	0.022158	0.026703	0.046027	0.045250	0.024871	0.021647	0.021822	0.014083	0.023774	0.016506	0.027462	0.058667	0.075915	0.066509	0.036024	0.037484	0.037072	0.054568	0.029745	0.052138	0.081289	0.064484	0.066362	0.021963
Cephalotus_follicularis_Cfol-v3-28822	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Cephalotus_follicularis_Cfol-v3-23428	0.008633	0.009548	0.011684	0.036926	0.046663	0.036677	0.024257	0.020634	0.018958	0.022919	0.027162	0.015546	0.011435	0.015993	0.008977	0.007972	0.016440	0.008877	0.018859	0.013523	0.014296	0.040784	0.048250	0.072087	0.063150	0.034057	0.066249	0.112629	0.073019	0.107327	0.058297	0.064209	0.048595	0.003819
Cephalotus_follicularis_Cfol-v3-19081	0.091655	0.055434	0.040359	0.600157	0.649571	0.583649	0.056499	0.073629	0.035380	0.061135	0.053934	0.022230	0.140621	0.225560	0.066813	0.030505	0.050206	0.040531	0.059376	0.042858	0.041757	0.008138	0.012224	0.049688	2.655584	2.040304	2.605760	2.884819	2.950760	2.899552	2.082114	2.190655	2.094173	0.043818
Cephalotus_follicularis_Cfol-v3-04540	0.000000	0.000000	0.000000	0.001046	0.001055	0.001088	0.000000	0.000000	0.001121	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001115	0.000000	0.000000	0.000000	0.031375	0.012374	0.029702	0.060824	0.075400	0.063594	0.025644	0.025659	0.021147	0.000000
Cephalotus_follicularis_Cfol-v3-15872	0.002471	0.000000	0.002400	0.001949	0.002829	0.002243	0.001310	0.001184	0.000807	0.003054	0.001861	0.002493	0.003792	0.002743	0.004111	0.001022	0.001426	0.001673	0.003463	0.000208	0.001813	0.006040	0.007085	0.004476	0.002192	0.000804	0.004172	0.002494	0.001635	0.002755	0.002310	0.003085	0.002358	0.000000
Cephalotus_follicularis_Cfol-v3-31886	0.307851	0.498772	0.428163	1.482039	1.645994	1.540218	0.698146	0.819794	0.614445	0.548981	0.586538	0.540233	0.621616	0.853680	0.635959	0.374866	0.494938	0.299686	0.455058	0.482567	0.543344	1.660322	1.598440	1.558437	1.594617	1.046116	1.788113	1.873742	1.726464	1.866545	1.852678	1.897618	1.805757	0.218390
Cephalotus_follicularis_Cfol-v3-13262	0.067555	0.078218	0.076224	0.163113	0.216895	0.178727	0.178509	0.159471	0.118534	0.184245	0.119265	0.131473	0.188702	0.231925	0.102640	0.086547	0.122763	0.083371	0.101562	0.088376	0.125329	0.333071	0.383174	0.348482	0.224994	0.131714	0.229504	0.353495	0.225681	0.359300	0.305059	0.276790	0.273440	0.078753
